,player,team,AGE,MIN,GP,PTS,REB,AST,PLUS_MINUS,TOV,FG_PCT,FG3M,FG3_PCT,FTM,FT_PCT,RANK,salary
0,Aaron Gordon,ORL,24.0,32.5,62,14.4,7.7,3.7,-1.1,1.6,0.437,1.2,0.308,2.4,0.674,60.0,18136364.0
1,Aaron Holiday,IND,23.0,24.5,66,9.5,2.4,3.4,1.7,1.3,0.414,1.3,0.394,1.1,0.851,314.0,2345640.0
2,Abdel Nader,OKC,26.0,15.8,55,6.3,1.8,0.7,-1.5,0.8,0.468,0.9,0.375,0.9,0.773,378.0,1752950.0
4,Admiral Schofield,WAS,23.0,11.2,33,3.0,1.4,0.5,-1.7,0.2,0.38,0.6,0.311,0.3,0.667,414.0,1517981.0
5,Al Horford,PHI,34.0,30.2,67,11.9,6.8,4.0,1.9,1.2,0.45,1.5,0.35,0.9,0.763,40.0,27500000.0
6,Al-Farouq Aminu,ORL,29.0,21.1,18,4.3,4.8,1.2,-1.9,0.9,0.291,0.5,0.25,1.1,0.655,125.0,9720900.0
7,Alec Burks,PHI,28.0,26.6,66,15.0,4.3,2.9,-3.4,1.4,0.418,1.8,0.385,3.6,0.887,184.0,6000000.0
9,Alex Caruso,LAL,26.0,18.4,64,5.5,1.9,1.9,3.8,0.8,0.412,0.6,0.333,1.1,0.734,291.0,2750000.0
10,Alex Len,SAC,27.0,17.6,55,8.0,5.8,0.9,-2.0,1.0,0.555,0.3,0.271,1.2,0.648,323.0,4032648.0
11,Alex Len,SAC,27.0,17.6,55,8.0,5.8,0.9,-2.0,1.0,0.555,0.3,0.271,1.2,0.648,382.0,4032648.0
12,Alfonzo McKinnie,CLE,27.0,14.8,40,4.6,2.8,0.4,-2.3,0.7,0.427,0.4,0.215,0.6,0.71,377.0,1762796.0
13,Alize Johnson,IND,24.0,6.9,17,2.0,2.8,0.4,1.5,0.4,0.414,0.2,0.375,0.4,0.7,489.0,399591.0
18,Andre Drummond,CLE,26.0,33.0,57,17.7,15.2,2.7,-3.4,3.6,0.533,0.1,0.143,3.0,0.575,32.0,29546311.0
19,Andre Drummond,CLE,26.0,33.0,57,17.7,15.2,2.7,-3.4,3.6,0.533,0.1,0.143,3.0,0.575,471.0,29546311.0
20,Andre Iguodala,MIA,36.0,19.9,21,4.6,3.7,2.4,-1.2,1.2,0.432,0.7,0.298,0.3,0.4,80.0,15000000.0
22,Andrew Wiggins,GSW,25.0,34.4,54,21.8,5.1,3.7,-3.7,2.4,0.447,2.1,0.332,3.5,0.709,23.0,29542010.0
23,Anfernee Simons,POR,21.0,20.7,70,8.3,2.2,1.4,-3.5,0.9,0.399,1.1,0.332,1.1,0.826,329.0,2252040.0
25,Anthony Davis,LAL,27.0,34.4,62,26.1,9.3,3.2,3.9,2.5,0.503,1.2,0.33,7.2,0.846,17.0,32742000.0
29,Aron Baynes,PHX,33.0,22.2,42,11.5,5.6,1.6,-1.1,1.2,0.48,1.4,0.351,1.3,0.747,170.0,6975610.0
30,Austin Rivers,HOU,27.0,23.4,68,8.8,2.6,1.7,1.2,0.7,0.421,1.4,0.356,1.1,0.703,272.0,3174603.0
31,Avery Bradley,LAL,29.0,24.2,49,8.6,2.3,1.3,3.7,1.0,0.444,1.3,0.364,0.4,0.833,189.0,5635000.0
33,Bam Adebayo,MIA,22.0,33.6,72,15.9,10.2,5.1,3.4,2.8,0.557,0.0,0.143,3.7,0.691,200.0,5115492.0
34,Ben McLemore,HOU,27.0,22.8,71,10.1,2.2,0.8,2.6,0.7,0.444,2.5,0.4,0.7,0.746,328.0,2852708.0
35,Ben McLemore,HOU,27.0,22.8,71,10.1,2.2,0.8,2.6,0.7,0.444,2.5,0.4,0.7,0.746,480.0,2852708.0
36,Ben Simmons,PHI,23.0,35.4,57,16.4,7.8,8.0,1.1,3.5,0.58,0.0,0.286,3.2,0.621,28.0,29250000.0
37,Bismack Biyombo,CHA,27.0,19.4,53,7.4,5.8,0.9,-2.9,0.9,0.543,0.0,0.0,1.7,0.603,320.0,2331593.0
38,Blake Griffin,DET,31.0,28.5,18,15.5,4.7,3.3,-1.4,2.2,0.352,1.5,0.243,4.2,0.776,18.0,33685241.0
39,Blake Griffin,DET,31.0,28.5,18,15.5,4.7,3.3,-1.4,2.2,0.352,1.5,0.243,4.2,0.776,446.0,33685241.0
41,Bobby Portis,NYK,25.0,21.1,66,10.1,5.1,1.5,-2.9,1.1,0.45,1.0,0.358,1.1,0.763,254.0,3623000.0
44,Bol Bol,DEN,20.0,12.4,7,5.7,2.7,0.9,-3.0,1.4,0.5,0.6,0.444,1.1,0.8,344.0,2058240.0
45,Brad Wanamaker,BOS,30.0,19.3,71,6.9,2.0,2.5,1.9,1.1,0.448,0.5,0.363,1.8,0.926,330.0,2250000.0
46,Bradley Beal,WAS,27.0,36.0,57,30.5,4.2,6.1,-3.5,3.4,0.455,3.0,0.353,6.8,0.842,31.0,28751775.0
47,Brandon Clarke,MEM,23.0,22.4,58,12.1,5.9,1.4,-0.3,0.9,0.618,0.4,0.359,1.5,0.759,296.0,2602920.0
48,Brandon Goodwin,ATL,24.0,12.7,34,6.1,2.1,1.5,-3.8,0.9,0.4,0.8,0.299,0.8,0.933,385.0,1701593.0
49,Brandon Ingram,NOP,22.0,33.9,62,23.8,6.1,4.2,-0.7,3.0,0.463,2.4,0.391,5.0,0.851,41.0,27285000.0
52,Brook Lopez,MIL,32.0,26.7,68,12.0,4.6,1.5,7.7,1.0,0.435,1.5,0.314,1.9,0.836,97.0,12697675.0
53,Bruce Brown,DET,23.0,28.2,58,8.9,4.7,4.0,-2.4,1.7,0.443,0.6,0.344,1.5,0.739,402.0,1663861.0
54,Bruno Caboclo,HOU,24.0,8.1,30,3.0,2.0,0.4,-1.1,0.4,0.427,0.2,0.182,0.3,0.889,490.0,361256.0
55,Bruno Fernando,ATL,21.0,12.7,56,4.3,3.5,0.9,-1.7,0.8,0.518,0.1,0.135,0.5,0.569,412.0,1517981.0
56,Bryn Forbes,SAS,26.0,25.1,63,11.2,2.0,1.7,-3.4,0.9,0.417,2.3,0.388,1.2,0.833,315.0,2337145.0
57,Buddy Hield,SAC,27.0,30.8,72,19.2,4.6,3.0,-1.5,2.3,0.429,3.8,0.394,1.6,0.846,45.0,24431818.0
58,CJ McCollum,POR,28.0,36.5,70,22.2,4.2,4.4,0.2,1.8,0.451,2.8,0.379,2.0,0.757,27.0,29354152.0
60,Caleb Martin,CHA,24.0,17.6,18,6.2,2.1,1.3,0.3,0.8,0.44,1.1,0.541,0.9,0.81,432.0,1517981.0
62,Cam Reddish,ATL,20.0,26.7,58,10.5,3.7,1.5,-4.2,1.7,0.384,1.4,0.332,1.7,0.802,224.0,4458000.0
63,Cameron Johnson,PHX,24.0,22.0,57,8.8,3.3,1.2,0.2,0.6,0.435,1.9,0.39,0.8,0.807,228.0,4235160.0
64,Cameron Payne,PHX,25.0,22.9,8,10.9,3.9,3.0,11.1,1.4,0.485,1.9,0.517,0.8,0.857,357.0,1977011.0
65,Caris LeVert,BKN,25.0,29.6,45,18.7,4.2,4.4,-0.1,2.6,0.425,1.8,0.364,3.1,0.711,71.0,16203704.0
66,Carmelo Anthony,POR,36.0,32.8,58,15.4,6.3,1.5,0.3,1.7,0.43,1.5,0.385,2.3,0.845,299.0,2564753.0
67,Carsen Edwards,BOS,22.0,9.5,37,3.3,1.3,0.6,-1.3,0.4,0.328,0.6,0.316,0.4,0.684,411.0,1517981.0
68,Cedi Osman,CLE,25.0,29.4,65,11.0,3.6,2.4,-5.4,1.4,0.437,1.9,0.383,1.0,0.67,140.0,8750000.0
